table_name,cohort_definition_id,cohort_name
slcp_basecohorts,1,Infection
slcp_basecohorts,2,Reinfection
slcp_basecohorts,3,Test negative
slcp_basecohorts,4,Influenza
slcp_lccohorts,1,Abdominal_pain
slcp_lccohorts,2,Allergy
slcp_lccohorts,3,Altered_smell_taste
slcp_lccohorts,4,Anxiety
slcp_lccohorts,5,Blurred_vision
slcp_lccohorts,6,Chest pain or angina
slcp_lccohorts,7,Cognitive_dysfunction_brain_fog
slcp_lccohorts,8,Cough
slcp_lccohorts,9,Depression wo recurrence
slcp_lccohorts,10,Dizziness
slcp_lccohorts,11,Dyspnea
slcp_lccohorts,12,Fatigue_malaise
slcp_lccohorts,13,Gastrointestinal_issues
slcp_lccohorts,14,Headache
slcp_lccohorts,15,Intermittent_fever
slcp_lccohorts,16,Joint_pain
slcp_lccohorts,17,Memory_issues
slcp_lccohorts,18,Menstrual_problems
slcp_lccohorts,19,Muscle_spasms_and_pain
slcp_lccohorts,20,Neuralgia
slcp_lccohorts,21,Pins_and_needles_sensation
slcp_lccohorts,22,Postexertional_fatigue
slcp_lccohorts,23,Sleep_disorder
slcp_lccohorts,24,Tachycardia
slcp_lccohorts,25,Tinnitus_hearing_problems
slcp_lccohorts,26,Any LC symptom
slcp_lccohorts,27,LC code
slcp_pasccohorts,1,VenousThrombosembolism
slcp_pasccohorts,2,DeepVeinThrombosis
slcp_pasccohorts,3,PulmonaryEmbolism
slcp_pasccohorts,4,HaemorrhagicStroke
slcp_pasccohorts,5,IschemicStroke
slcp_pasccohorts,6,TransientIschemicAttack
slcp_pasccohorts,7,MyocardialInfarction
slcp_pasccohorts,8,Myocarditis_Pericarditis
slcp_pasccohorts,9,VentricularArrhythmia_CardiacArrest
slcp_pasccohorts,10,HeartFailure
slcp_pasccohorts,11,Any PASC event
slcp_mccohorts,1,DiabetesType1
slcp_mccohorts,2,DiabetesType2
slcp_mccohorts,3,Dementia
slcp_mccohorts,4,Dysauthonomia_POTS
slcp_mccohorts,5,InflammatoryBowelDisease
slcp_mccohorts,6,LiverInjuryFailureNonAlcohol
slcp_mccohorts,7,Lupus
slcp_mccohorts,8,MyocarditisPericarditis
slcp_mccohorts,9,RenalFailure
slcp_mccohorts,10,RheumatoideArthritis
slcp_mccohorts,11,MalignantBreastCancer
slcp_mccohorts,12,MalignantColorectalCancer
slcp_mccohorts,13,MalignantHeadNeckCancer
slcp_mccohorts,14,MalignantLiverBileDuctCancer
slcp_mccohorts,15,MalignantLiverCancer
slcp_mccohorts,16,MalignantLungCancer
slcp_mccohorts,17,MalignantPancreaticCancer
slcp_mccohorts,18,MalignantProstateCancer
slcp_mccohorts,19,MalignantStomachCancer
slcp_mccohorts,20,MISC
slcp_mccohorts,21,JuvenileArthritis
slcp_mccohorts,22,ME_CFS_narrow
slcp_mccohorts,23,ME_CFS_broad
slcp_mccohorts,24,Dysauthonomia_wide
slcp_vacccohorts,1,Vaccinated
slcp_vacccohorts,2,Not vaccinated
slcp_vacccohorts,3,First dose
slcp_vacccohorts,4,Second dose
slcp_vacccohorts,5,Third dose
slcp_overlapccohorts,1,LC any + inf
slcp_overlapccohorts,2,LC any + reinf
slcp_overlapccohorts,3,LC any + neg
slcp_overlapccohorts,4,LC any + flu
slcp_overlapccohorts,5,LC code + inf
slcp_overlapccohorts,6,LC code + reinf
slcp_overlapccohorts,7,LC code + neg
slcp_overlapccohorts,8,LC code + flu
slcp_overlapccohorts,9,PASC any + inf
slcp_overlapccohorts,10,PASC any + reinf
slcp_overlapccohorts,11,PASC any + neg
slcp_overlapccohorts,12,PASC any + flu
slcp_overlapccohorts,133,Inf + LC any + vacc
slcp_overlapccohorts,134,Inf + LC any + not vacc
slcp_overlapccohorts,135,Reinf + LC any + vacc
slcp_overlapccohorts,136,Reinf + LC any + not vacc
slcp_overlapccohorts,137,Neg + LC any + vacc
slcp_overlapccohorts,138,Neg + LC any + not vacc
slcp_overlapccohorts,139,Flu + LC any + vacc
slcp_overlapccohorts,140,Flu + LC any + not vacc
slcp_overlapccohorts,141,Inf + LC code + vacc
slcp_overlapccohorts,142,Inf + LC code + not vacc
slcp_overlapccohorts,143,Reinf + LC code + vacc
slcp_overlapccohorts,144,Reinf + LC code + not vacc
