chapter,name
Blood and blood-forming organs disease and certain disorders involving the immune mechanism (machine translation),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
Certain conditions originating in the perinatal period,Perinatal
Certain infectious and parasitic diseases,Other
Certain infectious and parasitic diseases (machine translation),Other
Circulatory system diseases (machine translation),Diseases of the circulatory system
Codes for special purposes,Other
"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
"Congenital malformations, deformations and chromosomal abnormalities (machine translation)","Congenital malformations, deformations and chromosomal abnormalities"
Digestive diseases (machine translation),Diseases of the digestive system
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
Diseases of the circulatory system,Diseases of the circulatory system
Diseases of the digestive system,Diseases of the digestive system
Diseases of the ear and mastoid process,Diseases of the ear and mastoid process
Diseases of the eye and adnexa,Diseases of the eye and adnexa
Diseases of the genitourinary system,Diseases of the genitourinary system
Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue
Diseases of the nervous system,Diseases of the nervous system
Diseases of the respiratory system,Diseases of the respiratory system
Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
Ear and mastoid disease (machine translation),Diseases of the ear and mastoid process
"Endocrine, nutritional and metabolic diseases","Endocrine, nutritional and metabolic diseases"
"Endocrine, nutritional and metabolic diseases (machine translation)","Endocrine, nutritional and metabolic diseases"
External causes of illness and death (machine translation),Other
External causes of morbidity and mortality,Other
Eye diseases and adnexa (machine translation),Diseases of the eye and adnexa
Factors influencing health status and contact with health services,Other
For encoding special purpose (machine translation),Other
Genito-urinary system diseases (machine translation),Genito-urinary system diseases
Health status and contact with the factors affecting health institutions (machine translation),Other
"Injury, poisoning and certain other consequences of external causes",Other
It originated in some cases the perinatal period (machine translation),Perinatal
Mental and behavioral disorders (machine translation),Mental and behavioural disorders
Mental and behavioural disorders,Mental and behavioural disorders
Musculoskeletal system and connective tissue diseases (machine translation),Diseases of the musculoskeletal system and connective tissue
Neoplasms,Neoplasms
Nervous system disease (machine translation),Diseases of the nervous system
"Pregnancy, childbirth and postpartum (machine translation)",Perinatal
"Pregnancy, childbirth and the puerperium",Perinatal
Respiratory diseases (machine translation),Diseases of the respiratory system
Skin and subcutaneous tissue disorders (machine translation),Diseases of the skin and subcutaneous tissue
"Some other consequences of injuries, poisoning and external causes (machine translation)",Other
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified by (machine translation)",Other
Tumor (machine translation),
